Empréstimo,ValorDoBem,Finalidade,Emprego,TempoEmprego,Negativos,Atrasos,TempoCliente,LC-Recente,LC-Atual,RDS
86036.0,381902.5,Diversas,Gerente,7.25,1.0,0.0,157.1,0.0,27.0,31.4%
7536.0,367992.3,Reforma,Geral,4.75,0.0,0.0,95.2,0.0,13.0,30.7%
84780.0,363363.94,Diversas,Outros,9.0,0.0,0.0,282.4,0.0,33.0,34.2%
40820.0,261207.18000000002,Reforma,Outros,,0.0,0.0,293.1,0.0,20.0,
49926.0,357608.32,Reforma,Geral,2.25,0.0,0.0,142.2,0.0,21.0,35.3%
21980.0,391956.78,Reforma,Outros,9.0,,,422.6,1.0,48.0,39.8%
33912.0,222927.44,Diversas,Outros,4.25,0.0,0.0,173.4,2.0,17.0,32.2%
16014.0,95616.14,Reforma,Outros,11.0,0.0,0.0,23.4,0.0,2.0,
19782.0,231499.64,Reforma,Comissionado,3.0,2.0,0.0,164.5,1.0,22.0,42.4%
80698.0,178141.62,Diversas,Outros,13.25,0.0,0.0,98.4,2.0,25.0,32.6%
25748.0,377073.18,Reforma,Outros,9.25,,,420.6,1.0,47.0,41.6%
28260.0,395715.36000000004,Reforma,Outros,9.0,,,413.0,1.0,50.0,43.7%
53380.0,235500.0,Diversas,Gerente,5.75,1.0,0.0,180.3,5.0,33.0,
44902.0,253768.52000000002,Diversas,Gerente,4.0,0.0,0.0,117.1,0.0,9.0,27.7%
97654.0,591148.9600000001,Diversas,Professional,1.75,1.0,0.0,230.2,2.0,19.0,39.5%
47100.0,214305.0,Diversas,Outros,7.75,0.0,1.0,57.9,0.0,4.0,
56520.0,228133.56,Diversas,Outros,7.75,0.0,0.0,63.5,0.0,4.0,32.6%
12560.0,116808.0,Diversas,Outros,6.0,0.0,0.0,94.8,1.0,25.0,
78500.0,730866.4,Diversas,Outros,4.25,0.0,4.0,232.0,2.0,43.0,
23236.0,360625.86,Diversas,Geral,0.5,0.0,0.0,240.6,1.0,40.0,18.4%
26062.0,240216.28,Diversas,Professional,9.0,0.0,0.0,60.5,3.0,23.0,41.0%
88548.0,714717.38,Diversas,Professional,0.5,0.0,0.0,314.0,0.0,35.0,43.4%
83838.0,167870.68,Diversas,Outros,25.75,0.0,0.0,114.5,1.0,11.0,24.0%
60916.0,325234.92000000004,Reforma,Outros,6.5,0.0,0.0,128.7,0.0,15.0,30.4%
52124.0,314693.94,Diversas,Gerente,1.0,0.0,0.0,92.4,0.0,17.0,24.7%
76930.0,498500.12,Diversas,Gerente,2.0,0.0,0.0,285.1,0.0,23.0,40.8%
25120.0,215316.08000000002,Reforma,Geral,1.25,0.0,0.0,55.9,0.0,4.0,38.7%
85094.0,317140.0,Diversas,Outros,8.75,1.0,1.0,131.1,0.0,21.0,
50240.0,299289.10000000003,Reforma,Professional,24.25,0.0,0.0,243.1,1.0,24.0,34.5%
82896.0,388706.88,Diversas,Geral,0.5,0.0,0.0,313.6,0.0,24.0,37.1%
81954.0,340636.62,Diversas,Gerente,7.5,0.0,0.0,302.4,2.0,27.0,28.1%
54636.0,522797.44,Reforma,Gerente,23.5,0.0,0.0,75.3,1.0,19.0,27.5%
157000.0,185260.0,Diversas,Geral,12.5,0.0,1.0,103.9,2.0,26.0,
31400.0,152604.0,Diversas,Outros,24.0,0.0,0.0,270.8,1.0,16.0,
39878.0,168024.54,Reforma,Outros,23.0,0.0,0.0,138.2,0.0,20.0,40.4%
54636.0,209695.48,Diversas,Gerente,27.5,0.0,0.0,274.0,1.0,16.0,39.4%
17270.0,228265.44,Reforma,Comissionado,4.25,2.0,0.0,152.2,0.0,21.0,39.4%
12560.0,56520.0,Diversas,Outros,,0.0,0.0,13.8,0.0,17.0,
28574.0,271792.12,Diversas,Gerente,8.5,0.0,0.0,93.4,0.0,24.0,27.2%
26376.0,123483.64,Reforma,Professional,11.0,0.0,0.0,184.7,0.0,12.0,21.1%
86978.0,206093.9,Reforma,Outros,18.5,0.0,3.0,222.8,1.0,28.0,
59974.0,202256.82,Diversas,Outros,16.25,0.0,0.0,287.4,0.0,23.0,29.8%
124344.0,138160.0,Diversas,Outros,,0.0,3.0,215.7,1.0,16.0,
47414.0,333917.02,Diversas,Outros,5.5,0.0,0.0,82.2,2.0,13.0,36.5%
60916.0,542293.7000000001,Diversas,Geral,5.25,0.0,0.0,206.1,3.0,22.0,43.3%
51496.0,241321.56,Diversas,Geral,1.75,0.0,0.0,174.5,0.0,24.0,30.8%
45216.0,152186.38,Reforma,Outros,11.0,0.0,0.0,116.3,0.0,10.0,21.5%
47100.0,483560.0,Diversas,Gerente,,0.0,0.0,225.8,0.0,19.0,
25748.0,782082.9400000001,Diversas,Comissionado,,0.0,0.0,117.3,0.0,22.0,43.1%
37680.0,188400.0,Diversas,Outros,4.75,1.0,2.0,147.5,0.0,24.0,
38622.0,374680.5,Diversas,Professional,2.75,1.0,2.0,159.0,0.0,34.0,35.8%
163908.0,283353.60000000003,Reforma,Outros,,0.0,0.0,343.0,0.0,7.0,26.0%
74104.0,541379.9600000001,Diversas,Outros,6.75,0.0,0.0,228.3,0.0,20.0,39.0%
73790.0,374664.8,Diversas,Outros,22.0,0.0,0.0,240.4,1.0,26.0,40.3%
44902.0,278285.64,Diversas,Outros,3.5,0.0,0.0,247.3,2.0,26.0,34.6%
71278.0,333424.04000000004,Diversas,Outros,,0.0,0.0,177.4,1.0,25.0,40.3%
78814.0,224060.98,Diversas,Geral,19.0,0.0,0.0,185.2,1.0,22.0,32.7%
88234.0,171199.08000000002,Diversas,Outros,35.75,0.0,0.0,298.3,0.0,21.0,37.8%
30772.0,206963.68000000002,Reforma,Outros,6.5,0.0,0.0,134.3,0.0,35.0,39.6%
56520.0,314916.88,Reforma,Professional,22.5,0.0,0.0,239.9,0.0,23.0,37.3%
51182.0,268711.78,Diversas,Outros,8.5,0.0,0.0,77.7,3.0,11.0,30.8%
33912.0,270228.4,Diversas,Gerente,6.0,0.0,0.0,104.0,0.0,23.0,32.1%
27946.0,418219.74,Diversas,Autônomo,6.0,0.0,0.0,161.3,0.0,19.0,32.4%
74732.0,211256.06,Diversas,Outros,6.5,0.0,0.0,76.8,2.0,19.0,38.5%
69080.0,577128.86,Diversas,Professional,6.5,,,177.8,3.0,43.0,43.2%
88548.0,601055.66,Reforma,Autônomo,1.25,0.0,0.0,188.7,0.0,17.0,39.6%
74732.0,225445.72,Reforma,Geral,6.25,0.0,0.0,120.9,2.0,5.0,19.6%
86036.0,221457.92,Diversas,Geral,18.25,0.0,0.0,181.7,1.0,19.0,34.5%
43960.0,192146.02000000002,Diversas,Outros,0.75,0.0,0.0,188.0,2.0,12.0,27.8%
89176.0,749659.3,Reforma,Outros,9.5,0.0,0.0,121.8,1.0,40.0,40.7%
33598.0,389981.72000000003,Diversas,Autônomo,6.25,1.0,0.0,175.6,0.0,19.0,32.8%
64370.0,624643.34,Diversas,Professional,9.0,0.0,0.0,261.5,1.0,35.0,24.4%
85722.0,395960.28,Diversas,Geral,10.0,0.0,1.0,140.3,0.0,28.0,37.2%
39878.0,285752.56,Diversas,Gerente,20.0,0.0,0.0,230.5,10.0,25.0,35.5%
29202.0,116572.5,Diversas,Geral,3.5,1.0,1.0,150.8,2.0,19.0,
35168.0,270360.28,Diversas,Outros,10.25,0.0,0.0,269.8,0.0,13.0,20.1%
34540.0,235145.18000000002,Reforma,Outros,3.0,0.0,1.0,244.9,2.0,16.0,39.7%
67196.0,340592.66000000003,Diversas,Gerente,24.75,,1.0,308.3,0.0,43.0,37.9%
82268.0,759107.56,Diversas,Outros,9.75,0.0,0.0,98.4,2.0,24.0,40.3%
68766.0,323655.5,Diversas,Geral,7.75,,1.0,127.8,1.0,17.0,36.0%
73790.0,220399.74000000002,Diversas,Geral,6.25,0.0,0.0,167.9,1.0,28.0,37.8%
79128.0,320992.78,Diversas,Geral,9.0,0.0,0.0,150.4,0.0,20.0,35.2%
15700.0,414480.0,Reforma,Outros,17.5,0.0,2.0,123.0,0.0,14.0,
45844.0,527520.0,Diversas,Professional,4.75,0.0,0.0,149.8,2.0,31.0,
49612.0,306551.92,Diversas,Outros,0.75,0.0,0.0,153.2,0.0,24.0,43.2%
81326.0,426675.76,Diversas,Gerente,8.75,1.0,0.0,190.3,5.0,18.0,42.5%
33912.0,146889.2,Reforma,Geral,24.5,0.0,0.0,271.7,0.0,20.0,
63428.0,437088.0,Diversas,Outros,10.5,0.0,0.0,100.8,3.0,15.0,38.9%
21352.0,204332.36000000002,Diversas,Gerente,7.75,,4.0,119.0,3.0,10.0,40.2%
80070.0,250377.32,Diversas,Outros,20.5,0.0,0.0,205.7,0.0,27.0,37.9%
147580.0,313434.8,Reforma,Autônomo,9.25,0.0,0.0,206.1,3.0,37.0,
157000.0,926300.0,Reforma,Gerente,6.75,0.0,1.0,112.0,8.0,22.0,
6908.0,108917.18000000001,Reforma,Outros,,0.0,1.0,303.3,0.0,8.0,
38308.0,511524.84,Reforma,Professional,4.75,0.0,0.0,429.4,0.0,43.0,31.2%
23236.0,315406.72000000003,Reforma,Outros,,0.0,0.0,97.7,0.0,14.0,
20410.0,117263.3,Reforma,Professional,11.5,0.0,0.0,193.5,0.0,13.0,23.2%
79128.0,227778.74000000002,Diversas,Outros,,1.0,2.0,94.5,1.0,26.0,28.4%
67196.0,361100.0,Diversas,Autônomo,3.75,0.0,0.0,215.2,2.0,29.0,
89176.0,230720.92,Diversas,Gerente,13.25,1.0,0.0,103.1,8.0,16.0,33.8%
43960.0,499260.0,Diversas,Gerente,13.5,0.0,1.0,174.1,1.0,31.0,
19468.0,224673.28,Reforma,Comissionado,3.25,2.0,0.0,164.3,0.0,22.0,41.3%
48042.0,120827.20000000001,Reforma,Gerente,20.5,0.0,1.0,183.6,4.0,32.0,
47100.0,426857.88,Diversas,Professional,19.5,0.0,1.0,10.9,2.0,24.0,
31086.0,316163.46,Diversas,Professional,3.0,0.0,0.0,135.2,0.0,25.0,34.6%
75360.0,141300.0,Diversas,Outros,25.5,0.0,0.0,120.6,1.0,11.0,
96084.0,390697.64,Diversas,Gerente,11.5,0.0,0.0,84.0,1.0,34.0,27.9%
52438.0,177300.1,Diversas,Professional,3.25,0.0,0.0,302.8,0.0,15.0,18.3%
56206.0,213611.06,Diversas,Gerente,26.75,1.0,0.0,281.6,1.0,17.0,38.1%
25434.0,307164.22000000003,Diversas,Professional,3.75,0.0,0.0,119.6,0.0,25.0,30.7%
54636.0,266736.72000000003,Reforma,Professional,12.75,0.0,2.0,174.1,0.0,13.0,29.0%
54322.0,247711.46000000002,Diversas,Gerente,4.75,0.0,0.0,135.4,0.0,8.0,30.3%
51496.0,342338.5,Diversas,Professional,10.0,0.0,0.0,157.1,3.0,19.0,
23864.0,195800.98,Diversas,Geral,3.5,0.0,1.0,94.1,2.0,12.0,35.7%
50240.0,287369.66000000003,Reforma,Geral,,0.0,0.0,165.2,0.0,25.0,45.6%
34540.0,430180.0,Diversas,Professional,3.0,0.0,0.0,279.4,1.0,47.0,
54950.0,445880.0,Diversas,Outros,1.5,1.0,0.0,165.9,3.0,26.0,
53066.0,319284.62,Diversas,Comissionado,26.0,0.0,0.0,257.0,0.0,46.0,39.5%
17898.0,249749.32,Reforma,Outros,2.0,0.0,0.0,94.6,0.0,15.0,41.2%
31714.0,566157.7000000001,Diversas,Outros,8.0,0.0,0.0,201.4,1.0,20.0,32.0%
39250.0,188400.0,Diversas,Outros,2.0,0.0,0.0,79.9,0.0,12.0,
33598.0,301976.94,Diversas,Geral,9.5,0.0,0.0,207.3,3.0,29.0,40.6%
61544.0,194127.36000000002,Diversas,Outros,14.0,0.0,0.0,121.3,1.0,17.0,38.8%
35168.0,338473.16000000003,Diversas,Geral,10.75,0.0,0.0,155.8,1.0,12.0,39.6%
49926.0,283265.68,Reforma,Outros,,0.0,0.0,306.5,0.0,19.0,28.4%
130624.0,138652.98,Diversas,Outros,,0.0,2.0,205.0,0.0,15.0,36.9%
34854.0,149894.18,Reforma,Outros,8.25,0.0,0.0,91.6,0.0,4.0,34.1%
67510.0,448976.04000000004,Diversas,Professional,22.25,1.0,0.0,171.5,0.0,24.0,39.6%
51182.0,281833.84,Diversas,Outros,2.25,0.0,0.0,195.7,0.0,29.0,30.4%
135962.0,939396.9400000001,Diversas,Professional,31.5,0.0,0.0,234.4,1.0,23.0,44.1%
32656.0,262287.34,Reforma,Geral,12.0,0.0,0.0,244.0,0.0,30.0,44.6%
75360.0,514319.44,Diversas,Gerente,15.25,0.0,0.0,188.4,0.0,24.0,32.2%
42076.0,225483.40000000002,Diversas,Outros,9.0,0.0,2.0,84.0,2.0,31.0,38.9%
37680.0,216898.64,Diversas,Gerente,10.5,1.0,0.0,85.5,1.0,19.0,31.6%
81954.0,355595.58,Diversas,Gerente,9.25,0.0,1.0,296.2,1.0,28.0,32.2%
35482.0,224048.42,Reforma,Outros,29.75,1.0,2.0,179.5,1.0,23.0,37.5%
47100.0,128451.12000000001,Diversas,Professional,20.25,0.0,1.0,200.1,1.0,16.0,33.0%
30144.0,312065.76,Reforma,Outros,0.0,0.0,1.0,178.9,0.0,31.0,36.2%
13188.0,185944.52000000002,Reforma,Geral,19.25,0.0,0.0,213.9,1.0,20.0,19.0%
92630.0,533486.0,Diversas,Gerente,8.0,0.0,0.0,140.3,1.0,23.0,
38308.0,238797.0,Diversas,Outros,1.25,0.0,0.0,236.6,0.0,9.0,35.1%
40192.0,358032.22000000003,Diversas,Professional,1.0,1.0,2.0,145.4,0.0,35.0,31.9%
78500.0,190550.9,Diversas,Outros,,0.0,0.0,314.7,0.0,19.0,41.4%
64370.0,345133.10000000003,Diversas,Outros,,0.0,0.0,177.8,1.0,24.0,39.9%
78500.0,725340.0,Diversas,Outros,,,3.0,108.0,1.0,26.0,
15700.0,309290.0,Diversas,Professional,24.25,0.0,0.0,54.0,3.0,14.0,
73790.0,563422.76,Diversas,Professional,6.0,,,196.4,4.0,42.0,38.9%
33912.0,579854.38,Diversas,Outros,7.75,0.0,0.0,213.5,0.0,19.0,31.9%
49926.0,358798.38,Diversas,Professional,8.5,0.0,0.0,207.6,2.0,37.0,39.2%
25120.0,176154.0,Reforma,Outros,10.15,0.0,0.0,94.2,3.0,35.0,
37052.0,244932.56,Reforma,Geral,12.25,0.0,0.0,253.0,0.0,31.0,42.4%
12560.0,248217.0,Reforma,Outros,1.8,2.0,0.0,280.2,1.0,6.0,
21038.0,221505.02000000002,Reforma,Professional,5.0,0.0,0.0,198.6,0.0,19.0,34.4%
114296.0,412935.12,Diversas,Gerente,30.5,0.0,0.0,351.8,0.0,19.0,38.1%
42390.0,435662.44,Diversas,Professional,14.5,,1.0,185.6,0.0,35.0,31.5%
46786.0,255413.88,Diversas,Gerente,3.75,0.0,0.0,111.5,0.0,8.0,29.8%
42704.0,348496.04000000004,Diversas,Comissionado,14.75,,2.0,148.8,1.0,17.0,33.7%
40820.0,376800.0,Diversas,Professional,0.85,0.0,0.0,134.9,0.0,22.0,
50868.0,405345.74,Diversas,Gerente,5.75,,,253.0,3.0,43.0,37.7%
44902.0,280477.36,Diversas,Professional,8.0,0.0,0.0,208.3,0.0,20.0,21.0%
80384.0,253084.0,Diversas,Outros,23.25,,1.0,292.9,0.0,32.0,36.7%
54008.0,321303.64,Reforma,Outros,1.5,0.0,3.0,59.7,1.0,9.0,39.0%
80698.0,198024.1,Diversas,Outros,0.75,0.0,0.0,219.7,0.0,21.0,39.2%
56520.0,553625.9600000001,Diversas,Geral,6.5,0.0,0.0,220.9,3.0,25.0,42.2%
54636.0,528283.02,Diversas,Geral,4.0,0.0,0.0,149.3,0.0,20.0,26.6%
6280.0,195465.0,Reforma,Comissionado,16.5,0.0,0.0,118.0,0.0,13.0,
37680.0,416992.0,Diversas,Gerente,10.0,0.0,0.0,98.7,0.0,25.0,
82896.0,518100.0,Diversas,Gerente,1.25,0.0,0.0,235.6,2.0,24.0,
64056.0,199179.62,Diversas,Geral,5.0,0.0,0.0,178.9,2.0,25.0,38.7%
88234.0,310860.0,Diversas,Gerente,7.0,0.0,1.0,130.6,1.0,31.0,
24492.0,252763.72,Reforma,Outros,4.75,0.0,0.0,103.2,0.0,14.0,40.8%
78500.0,741668.0,Reforma,Outros,8.75,0.0,0.0,136.1,1.0,43.0,
23236.0,159505.72,Diversas,Outros,10.75,0.0,0.0,223.6,1.0,31.0,35.0%
55578.0,349255.92000000004,Reforma,Professional,4.25,0.0,0.0,121.3,0.0,25.0,35.2%
22922.0,371097.76,Reforma,Outros,10.25,,,413.9,1.0,52.0,42.4%
21980.0,254396.52000000002,Reforma,Outros,22.5,0.0,0.0,342.9,1.0,46.0,28.8%
27318.0,255329.1,Diversas,Geral,6.25,0.0,0.0,101.0,2.0,14.0,24.6%
23550.0,217941.12,Reforma,Comissionado,4.75,1.0,0.0,156.8,1.0,23.0,43.6%
40820.0,203358.96000000002,Reforma,Professional,4.25,0.0,0.0,212.7,3.0,18.0,
36738.0,294239.98000000004,Diversas,Outros,7.75,3.0,0.0,165.6,2.0,49.0,71.5%
76616.0,223966.78,Diversas,Outros,6.5,0.0,0.0,48.3,1.0,18.0,39.0%
37680.0,169560.0,Diversas,Outros,,0.0,0.0,115.8,2.0,19.0,
70336.0,177846.46000000002,Diversas,Outros,13.5,0.0,0.0,104.3,1.0,26.0,30.5%
47100.0,204100.0,Diversas,Professional,18.5,0.0,0.0,184.4,0.0,21.0,
39250.0,293276.0,Diversas,Outros,6.5,3.0,0.0,76.4,1.0,20.0,
15700.0,145322.34,Reforma,Outros,2.0,0.0,0.0,259.0,0.0,27.0,40.0%
22608.0,151473.6,Diversas,Outros,15.75,0.0,0.0,85.0,0.0,12.0,
90432.0,609923.02,Reforma,Autônomo,2.5,0.0,0.0,177.9,0.0,17.0,43.1%
34540.0,190167.82,Diversas,Gerente,4.5,0.0,0.0,192.3,1.0,20.0,27.6%
52752.0,277045.34,Diversas,Professional,8.25,0.0,0.0,123.9,0.0,12.0,58.0%
39878.0,554106.38,Reforma,Geral,7.0,0.0,0.0,194.5,1.0,54.0,34.9%
57148.0,248892.1,Diversas,Outros,16.75,0.0,0.0,196.4,0.0,20.0,37.7%
74104.0,358795.24,Diversas,Outros,,0.0,0.0,188.1,2.0,24.0,38.9%
47100.0,132115.5,Diversas,Professional,18.0,1.0,0.0,124.8,0.0,22.0,
58404.0,667344.2000000001,Diversas,Outros,4.5,1.0,0.0,205.2,0.0,17.0,26.1%
47100.0,556094.0,Reforma,Professional,10.0,3.0,1.0,222.6,0.0,14.0,
162338.0,807221.78,Diversas,Professional,4.75,0.0,0.0,216.2,2.0,32.0,38.0%
31086.0,182295.84,Diversas,Outros,11.0,0.0,0.0,230.7,1.0,31.0,38.3%
39250.0,330642.0,Diversas,Gerente,4.5,0.0,0.0,284.1,1.0,23.0,
124030.0,605511.3200000001,Diversas,Gerente,,1.0,0.0,177.5,0.0,23.0,32.7%
30458.0,153561.7,Diversas,Outros,13.25,0.0,0.0,91.1,0.0,11.0,31.4%
21038.0,113652.3,Reforma,Geral,1.0,0.0,0.0,115.0,1.0,31.0,38.5%
52438.0,299863.72000000003,Diversas,Geral,0.75,0.0,1.0,163.7,0.0,27.0,24.3%
88862.0,368356.54000000004,Diversas,Outros,6.5,0.0,0.0,88.1,1.0,30.0,40.9%
47100.0,179953.4,Diversas,Comissionado,0.8,0.0,0.0,324.1,0.0,6.0,
67824.0,170225.68,Diversas,Outros,,0.0,1.0,306.4,0.0,19.0,
46472.0,274153.4,Diversas,Outros,2.5,0.0,0.0,130.0,3.0,10.0,41.0%
23864.0,640359.04,Diversas,Professional,1.0,0.0,0.0,89.2,2.0,25.0,36.0%
18212.0,785486.7000000001,Diversas,Comissionado,,0.0,0.0,128.6,0.0,22.0,42.2%
33912.0,219278.76,Diversas,Outros,3.75,0.0,0.0,311.6,0.0,9.0,36.1%
17584.0,209438.0,Reforma,Outros,31.25,1.0,1.0,205.8,0.0,11.0,
76616.0,439697.34,Reforma,Professional,6.5,0.0,0.0,179.5,0.0,34.0,32.0%
32028.0,135258.64,Reforma,Outros,9.0,0.0,0.0,95.1,0.0,3.0,36.8%
49926.0,332453.78,Reforma,Outros,0.0,0.0,2.0,52.8,1.0,10.0,39.4%
41448.0,252707.2,Diversas,Outros,0.0,0.0,0.0,242.6,3.0,26.0,31.3%
31714.0,309403.04000000004,Diversas,Gerente,1.25,0.0,0.0,74.8,1.0,23.0,36.3%
73790.0,367326.62,Reforma,Outros,,0.0,1.0,146.2,0.0,10.0,35.1%
70022.0,328965.24,Diversas,Geral,8.5,,0.0,118.4,2.0,18.0,38.3%
94514.0,365119.2,Diversas,Gerente,10.75,0.0,0.0,75.8,1.0,33.0,24.4%
124344.0,607448.7000000001,Diversas,Gerente,,0.0,0.0,187.3,0.0,27.0,32.2%
45844.0,300799.44,Diversas,Outros,0.75,0.0,0.0,150.2,0.0,21.0,44.0%
31400.0,155744.0,Reforma,Outros,1.65,0.0,0.0,249.3,0.0,11.0,
56520.0,426386.88,Diversas,Gerente,13.0,0.0,0.0,181.0,1.0,27.0,32.3%
10048.0,203629.0,Reforma,Outros,1.0,0.0,0.0,123.6,3.0,22.0,
15700.0,259364.0,Reforma,Gerente,16.25,0.0,0.0,136.8,1.0,35.0,
45844.0,199713.42,Diversas,Outros,,0.0,0.0,110.1,2.0,19.0,40.9%
31086.0,305876.82,Diversas,Professional,5.0,0.0,0.0,110.0,0.0,24.0,32.5%
92316.0,237236.42,Diversas,Gerente,13.5,1.0,0.0,79.5,8.0,15.0,37.1%
71906.0,608111.24,Diversas,Gerente,2.5,0.0,0.0,263.1,0.0,26.0,30.3%
17898.0,215375.74000000002,Reforma,Geral,0.0,0.0,0.0,72.2,0.0,4.0,42.2%
85408.0,396795.52,Diversas,Professional,0.25,1.0,0.0,189.0,3.0,39.0,36.8%
80384.0,281055.12,Diversas,Outros,8.75,1.0,0.0,143.4,2.0,29.0,43.7%
46472.0,292607.18,Diversas,Outros,0.25,0.0,0.0,32.7,2.0,3.0,40.1%
72534.0,302407.12,Diversas,Geral,1.5,0.0,0.0,161.8,1.0,22.0,34.1%
28260.0,199967.76,Reforma,Outros,,0.0,0.0,360.2,0.0,7.0,
50240.0,297084.82,Diversas,Outros,5.75,0.0,0.0,208.7,3.0,18.0,43.1%
29202.0,331248.02,Diversas,Gerente,2.0,0.0,0.0,64.9,2.0,22.0,40.4%
49298.0,226701.72,Diversas,Outros,0.25,,2.0,268.5,1.0,10.0,37.5%
6280.0,172700.0,Reforma,Outros,3.5,0.0,0.0,88.1,2.0,25.0,
74732.0,242722.0,Diversas,Professional,15.5,0.0,6.0,175.8,0.0,19.0,
77244.0,518652.64,Diversas,Gerente,15.75,0.0,0.0,197.1,0.0,27.0,30.8%
145382.0,130624.0,Diversas,Outros,,0.0,0.0,113.1,1.0,3.0,
40820.0,628000.0,Diversas,Gerente,3.75,0.0,2.0,198.4,1.0,51.0,
59346.0,377173.66000000003,Diversas,Outros,7.75,0.0,0.0,293.9,1.0,19.0,29.7%
64056.0,296560.44,Reforma,Outros,6.0,0.0,0.0,186.8,1.0,16.0,41.8%
15386.0,265738.2,Reforma,Outros,4.0,0.0,0.0,115.0,0.0,15.0,40.7%
97654.0,341832.96,Reforma,Outros,5.25,,,120.7,9.0,20.0,44.8%
88862.0,427143.62,Reforma,Professional,13.0,0.0,2.0,293.9,1.0,28.0,5.8%
51810.0,293590.0,Reforma,Professional,8.0,0.0,0.0,84.7,0.0,16.0,
54008.0,268953.56,Diversas,Professional,7.25,0.0,0.0,166.0,1.0,20.0,30.3%
83210.0,401207.22000000003,Diversas,Outros,2.75,0.0,0.0,192.3,2.0,26.0,44.0%
36738.0,323470.24,Diversas,Gerente,1.25,0.0,0.0,72.8,2.0,23.0,39.4%
77244.0,516715.26,Diversas,Outros,5.0,1.0,0.0,227.1,0.0,20.0,32.1%
59974.0,179454.14,Diversas,Outros,16.0,0.0,0.0,101.8,1.0,17.0,40.9%
127484.0,1465535.34,Reforma,Professional,4.0,0.0,0.0,308.4,4.0,14.0,44.9%
37994.0,454395.68,Reforma,Professional,13.0,0.0,0.0,131.4,5.0,23.0,38.4%
30772.0,169560.0,Reforma,Outros,17.25,0.0,1.0,107.0,5.0,19.0,
37366.0,273180.0,Diversas,Gerente,20.75,0.0,0.0,240.8,9.0,25.0,
50554.0,285881.3,Reforma,Outros,,0.0,0.0,300.4,0.0,19.0,30.0%
66882.0,392694.68,Diversas,Geral,24.0,0.0,0.0,280.7,2.0,17.0,32.0%
27632.0,221705.98,Reforma,Outros,4.0,0.0,0.0,102.8,3.0,19.0,41.3%
144126.0,361803.36,Diversas,Outros,,0.0,1.0,127.2,0.0,21.0,
49926.0,538039.0,Reforma,Autônomo,8.25,0.0,0.0,312.7,0.0,24.0,28.9%
95770.0,382320.12,Diversas,Gerente,10.75,0.0,0.0,80.7,0.0,36.0,28.5%
36110.0,259797.32,Reforma,Outros,17.0,0.0,0.0,201.9,0.0,16.0,35.0%
37994.0,150720.0,Diversas,Outros,6.5,1.0,0.0,110.5,2.0,16.0,
23864.0,312508.5,Diversas,Professional,2.5,0.0,0.0,138.3,0.0,28.0,34.8%
44902.0,256867.7,Diversas,Outros,1.5,0.0,0.0,256.1,3.0,23.0,32.7%
