Cliente,Empréstimo,ValorDoBem,Finalidade,Emprego,TempoEmprego,Negativos,Atrasos,TempoCliente,LC-Recente,LC-Atual,RDS
bom pagador,58090.0,288164.08,Reforma,Professional,4.0,0.0,0.0,131.2,0.0,13.0,26.9%
bom pagador,29830.0,165509.4,Diversas,Outros,12.0,0.0,0.0,243.4,0.0,32.0,40.2%
bom pagador,47100.0,226786.5,Diversas,Outros,1.0,0.0,0.0,270.0,0.0,20.0,26.1%
bom pagador,41762.0,200281.76,Diversas,Outros,3.75,0.0,0.0,178.3,0.0,13.0,28.9%
bom pagador,43646.0,276407.92,Diversas,Geral,13.25,0.0,0.0,113.3,0.0,23.0,37.0%
bom pagador,31400.0,373421.36,Reforma,Geral,31.75,0.0,0.0,344.8,2.0,36.0,36.2%
bom pagador,73790.0,293257.16000000003,Diversas,Gerente,6.25,0.0,0.0,193.1,2.0,18.0,34.1%
bom pagador,46786.0,278615.34,Diversas,Outros,4.75,0.0,0.0,245.8,3.0,27.0,29.0%
bom pagador,69080.0,569859.76,Diversas,Professional,6.0,,,163.7,5.0,43.0,39.3%
bom pagador,116808.0,240495.74000000002,Diversas,Professional,6.5,0.0,0.0,205.9,1.0,17.0,22.4%
mau pagador,62800.0,415830.2,Diversas,Outros,25.75,1.0,0.0,260.8,1.0,22.0,
bom pagador,51496.0,247435.14,Diversas,Professional,4.5,0.0,0.0,268.1,2.0,31.0,34.9%
bom pagador,51810.0,210273.24000000002,Reforma,Professional,3.5,0.0,0.0,207.4,3.0,17.0,37.0%
bom pagador,35482.0,89804.0,Reforma,Geral,20.5,0.0,0.0,193.0,0.0,15.0,37.0%
mau pagador,28260.0,216641.16,Diversas,Geral,0.75,0.0,1.0,139.5,0.0,9.0,26.5%
bom pagador,40192.0,290208.22000000003,Reforma,Geral,27.25,0.0,0.0,172.4,1.0,14.0,42.2%
bom pagador,68766.0,251950.46000000002,Diversas,Comissionado,5.25,0.0,0.0,404.8,0.0,23.0,20.0%
bom pagador,62800.0,39994.18,Diversas,Outros,5.0,,,65.5,0.0,17.0,39.4%
bom pagador,39878.0,327250.8,Diversas,Geral,10.75,0.0,0.0,166.5,0.0,13.0,36.5%
bom pagador,46786.0,370604.78,Diversas,Professional,0.25,1.0,1.0,156.6,1.0,33.0,35.1%
mau pagador,48042.0,339669.5,Reforma,Outros,6.5,1.0,0.0,84.2,0.0,20.0,22.5%
bom pagador,47728.0,558913.72,Diversas,Gerente,12.0,0.0,0.0,263.1,0.0,21.0,25.5%
mau pagador,40820.0,154883.64,Reforma,Professional,11.75,0.0,0.0,173.9,1.0,8.0,37.9%
bom pagador,60602.0,333103.76,Diversas,Geral,11.25,0.0,0.0,196.0,1.0,13.0,28.7%
bom pagador,45216.0,373380.54000000004,Diversas,Outros,11.5,0.0,0.0,181.6,0.0,29.0,36.9%
bom pagador,46158.0,395077.94,Diversas,Gerente,5.5,,,258.1,2.0,43.0,37.8%
bom pagador,37994.0,321536.0,Diversas,Comissionado,11.75,,2.0,162.0,0.0,17.0,32.5%
bom pagador,54950.0,485170.82,Diversas,Gerente,,0.0,0.0,218.5,0.0,18.0,36.5%
bom pagador,75046.0,379158.14,Diversas,Autônomo,3.75,0.0,0.0,196.0,1.0,26.0,35.4%
bom pagador,33598.0,248914.08000000002,Reforma,Outros,18.5,0.0,0.0,220.2,1.0,16.0,36.0%
bom pagador,34854.0,314436.46,Reforma,Professional,5.0,0.0,0.0,111.3,0.0,26.0,27.1%
bom pagador,32028.0,271625.7,Diversas,Outros,8.5,0.0,0.0,262.1,0.0,14.0,21.3%
mau pagador,37994.0,121675.0,Diversas,Outros,1.55,0.0,0.0,170.0,1.0,17.0,
bom pagador,83210.0,373788.74,Diversas,Outros,4.75,0.0,0.0,98.5,1.0,30.0,38.1%
bom pagador,88234.0,404328.38,Diversas,Geral,10.25,0.0,1.0,156.7,0.0,30.0,41.1%
mau pagador,17270.0,112019.5,Diversas,Outros,1.25,0.0,3.0,156.4,3.0,27.0,
bom pagador,85722.0,668672.42,Diversas,Professional,9.0,0.0,0.0,246.1,3.0,27.0,22.2%
bom pagador,64998.0,204100.0,Diversas,Outros,26.75,0.0,0.0,307.8,3.0,30.0,
bom pagador,78814.0,290588.16000000003,Diversas,Professional,8.5,1.0,1.0,137.7,4.0,24.0,32.6%
bom pagador,42704.0,320069.62,Diversas,Outros,1.25,0.0,0.0,150.7,0.0,23.0,41.6%
bom pagador,211636.0,462217.42000000004,Reforma,Geral,10.5,0.0,0.0,120.1,0.0,11.0,42.0%
bom pagador,98596.0,113297.48000000001,Diversas,Outros,30.5,0.0,0.0,208.3,0.0,15.0,41.0%
bom pagador,206612.0,460603.46,Reforma,Geral,8.5,0.0,1.0,134.2,0.0,11.0,39.8%
bom pagador,46786.0,245504.04,Diversas,Gerente,5.5,0.0,0.0,128.0,1.0,8.0,24.3%
mau pagador,29830.0,143353.56,Diversas,Geral,0.75,0.0,0.0,85.4,0.0,9.0,23.3%
bom pagador,26376.0,245168.06,Diversas,Outros,0.0,0.0,0.0,58.7,8.0,20.0,25.5%
bom pagador,68766.0,216506.14,Diversas,Professional,10.0,0.0,0.0,190.1,0.0,42.0,40.0%
mau pagador,53380.0,398780.0,Diversas,Gerente,9.75,0.0,5.0,258.2,0.0,39.0,
bom pagador,70336.0,571049.8200000001,Reforma,Gerente,7.5,0.0,0.0,319.7,0.0,17.0,46.0%
bom pagador,78500.0,628000.0,Diversas,Outros,23.25,0.0,0.0,200.9,0.0,19.0,
bom pagador,69708.0,191238.56,Diversas,Outros,,0.0,0.0,290.5,0.0,18.0,38.7%
bom pagador,50240.0,273450.04000000004,Diversas,Outros,7.75,0.0,0.0,207.4,2.0,18.0,44.4%
bom pagador,83838.0,533931.88,Diversas,Gerente,1.5,0.0,0.0,234.1,1.0,25.0,33.1%
mau pagador,47100.0,329700.0,Diversas,Outros,1.75,0.0,2.0,207.9,2.0,27.0,
mau pagador,28888.0,244920.0,Diversas,Gerente,10.25,0.0,0.0,125.1,2.0,24.0,
bom pagador,89804.0,582491.98,Diversas,Professional,0.25,0.0,0.0,213.5,3.0,19.0,39.5%
bom pagador,15386.0,770242.0,Diversas,Comissionado,,0.0,0.0,133.4,0.0,20.0,
bom pagador,25434.0,177052.04,Reforma,Outros,11.0,1.0,0.0,296.5,2.0,12.0,34.4%
bom pagador,78500.0,549500.0,Diversas,Comissionado,17.75,0.0,0.0,301.1,1.0,32.0,
bom pagador,63428.0,539094.04,Diversas,Professional,7.0,0.0,0.0,181.6,0.0,39.0,21.3%
bom pagador,54636.0,283962.76,Reforma,Professional,4.0,0.0,0.0,116.5,0.0,12.0,27.4%
mau pagador,34540.0,346922.9,Diversas,Gerente,3.5,1.0,1.0,128.6,1.0,17.0,42.0%
bom pagador,106446.0,540375.16,Diversas,Gerente,12.75,1.0,0.0,169.1,1.0,28.0,44.3%
mau pagador,68452.0,401920.0,Reforma,Professional,15.75,1.0,2.0,289.0,3.0,27.0,
mau pagador,31086.0,266476.10000000003,Diversas,Gerente,0.75,2.0,0.0,97.8,0.0,12.0,40.2%
bom pagador,43018.0,297797.60000000003,Diversas,Outros,6.5,0.0,0.0,197.4,3.0,19.0,43.3%
mau pagador,51496.0,227650.0,Diversas,Outros,,0.0,1.0,128.9,1.0,37.0,
mau pagador,84152.0,169267.98,Diversas,Outros,0.25,0.0,0.0,203.2,0.0,6.0,70.5%
mau pagador,58404.0,259646.6,Diversas,Gerente,0.25,1.0,0.0,91.2,0.0,21.0,51.8%
bom pagador,81012.0,335640.88,Diversas,Professional,12.0,0.0,0.0,294.1,1.0,34.0,40.8%
bom pagador,41448.0,394817.32,Reforma,Gerente,3.0,0.0,3.0,158.5,0.0,24.0,41.7%
bom pagador,68452.0,360258.48000000004,Diversas,Outros,,0.0,0.0,192.2,1.0,25.0,41.7%
bom pagador,10048.0,234137.24000000002,Reforma,Gerente,10.75,,1.0,208.5,0.0,26.0,42.1%
bom pagador,72534.0,426349.2,Reforma,Professional,5.75,0.0,0.0,156.1,0.0,31.0,35.6%
bom pagador,63742.0,337119.82,Reforma,Outros,4.5,0.0,0.0,221.4,0.0,13.0,27.6%
bom pagador,66254.0,83053.0,Diversas,Professional,6.0,1.0,0.0,114.4,0.0,19.0,19.8%
mau pagador,46786.0,246201.12,Diversas,Autônomo,4.0,3.0,0.0,132.6,0.0,25.0,3.0%
bom pagador,63428.0,307029.2,Reforma,Professional,17.75,0.0,1.0,633.5,1.0,25.0,22.7%
bom pagador,20096.0,233402.48,Reforma,Gerente,9.25,,1.0,216.5,0.0,24.0,38.6%
bom pagador,41134.0,219985.26,Diversas,Outros,11.75,0.0,0.0,244.5,0.0,18.0,30.9%
bom pagador,16956.0,269562.72000000003,Reforma,Outros,4.25,0.0,0.0,125.9,0.0,15.0,45.1%
bom pagador,40192.0,246150.88,Reforma,Outros,0.75,0.0,1.0,198.5,0.0,13.0,28.3%
bom pagador,15700.0,357061.96,Reforma,Professional,7.25,0.0,0.0,195.7,0.0,27.0,26.9%
bom pagador,31400.0,162287.76,Diversas,Outros,15.25,0.0,0.0,86.0,0.0,12.0,30.3%
bom pagador,59660.0,615100.88,Diversas,Professional,10.75,0.0,0.0,279.6,0.0,40.0,26.5%
bom pagador,82268.0,416448.78,Diversas,Geral,11.0,0.0,1.0,170.9,0.0,27.0,41.1%
bom pagador,132508.0,192974.98,Diversas,Outros,19.0,0.0,0.0,185.4,1.0,30.0,38.9%
bom pagador,36110.0,118431.38,Reforma,Gerente,15.5,0.0,0.0,64.3,0.0,9.0,31.7%
mau pagador,131880.0,518100.0,Diversas,Geral,12.75,1.0,1.0,238.4,0.0,19.0,
bom pagador,77872.0,292685.68,Diversas,Professional,7.25,1.0,1.0,122.0,4.0,24.0,33.7%
bom pagador,18840.0,270432.5,Reforma,Professional,6.5,0.0,0.0,224.9,2.0,25.0,
bom pagador,51810.0,310615.08,Diversas,Geral,0.5,0.0,0.0,142.2,3.0,20.0,33.8%
bom pagador,73790.0,383937.22000000003,Reforma,Gerente,9.75,0.0,0.0,121.6,1.0,22.0,30.4%
mau pagador,51182.0,239051.34,Diversas,Outros,9.25,0.0,0.0,83.6,2.0,9.0,39.4%
bom pagador,45216.0,284889.06,Diversas,Gerente,4.25,0.0,0.0,134.5,2.0,25.0,39.7%
mau pagador,39250.0,211950.0,Diversas,Geral,16.25,0.0,5.0,186.6,0.0,15.0,
bom pagador,53380.0,419390.96,Diversas,Professional,15.5,0.0,0.0,310.5,0.0,18.0,28.4%
bom pagador,52438.0,303119.9,Reforma,Geral,7.25,,,105.0,0.0,10.0,39.3%
bom pagador,17270.0,366372.06,Reforma,Professional,6.5,0.0,0.0,188.7,1.0,25.0,27.4%
bom pagador,79128.0,315230.88,Diversas,Professional,0.5,0.0,0.0,197.2,0.0,27.0,33.3%
bom pagador,197506.0,634053.92,Diversas,Professional,9.5,0.0,0.0,300.0,1.0,23.0,36.6%
bom pagador,121204.0,602440.4,Diversas,Gerente,,1.0,0.0,187.2,0.0,24.0,36.1%
bom pagador,110528.0,135107.92,Diversas,Gerente,2.25,0.0,1.0,212.6,3.0,50.0,41.3%
bom pagador,52752.0,577163.4,Diversas,Gerente,11.25,0.0,0.0,245.4,0.0,20.0,25.7%
mau pagador,61544.0,427040.0,Diversas,Professional,12.5,2.0,0.0,187.0,3.0,33.0,
bom pagador,29516.0,366416.02,Diversas,Geral,0.5,0.0,0.0,247.3,0.0,39.0,17.2%
bom pagador,42076.0,407192.06,Reforma,Professional,10.0,0.0,0.0,181.6,2.0,33.0,30.5%
bom pagador,37680.0,352072.5,Reforma,Geral,2.5,0.0,0.0,144.8,1.0,20.0,
bom pagador,78500.0,650608.0,Diversas,Professional,10.0,0.0,0.0,241.9,3.0,28.0,
bom pagador,62486.0,337857.72000000003,Diversas,Geral,10.0,0.0,0.0,204.2,2.0,13.0,31.0%
bom pagador,86978.0,397398.4,Diversas,Geral,0.25,0.0,0.0,312.9,1.0,25.0,37.0%
bom pagador,86350.0,265235.8,Diversas,Outros,9.5,0.0,1.0,142.0,3.0,27.0,41.3%
bom pagador,51810.0,206448.72,Diversas,Outros,7.5,0.0,0.0,101.2,3.0,14.0,41.4%
mau pagador,47100.0,148817.16,Reforma,Outros,13.75,0.0,0.0,68.6,0.0,11.0,
mau pagador,16014.0,146747.9,Reforma,Outros,10.0,0.0,0.0,71.0,0.0,17.0,
mau pagador,16956.0,180402.42,Diversas,Comissionado,4.5,0.0,0.0,97.0,0.0,23.0,
bom pagador,49612.0,351026.88,Diversas,Professional,1.0,0.0,2.0,144.8,1.0,36.0,31.1%
mau pagador,44274.0,188400.0,Diversas,Outros,0.75,0.0,0.0,1.1,13.0,8.0,
bom pagador,37366.0,123819.62000000001,Reforma,Outros,,,1.0,82.7,0.0,9.0,34.5%
bom pagador,26062.0,245924.80000000002,Reforma,Outros,18.75,0.0,0.0,197.1,1.0,17.0,
bom pagador,13502.0,250735.28,Reforma,Outros,6.0,0.0,0.0,106.5,0.0,14.0,41.8%
bom pagador,15700.0,273707.52,Reforma,Outros,4.0,0.0,0.0,123.7,0.0,15.0,41.6%
bom pagador,53380.0,498195.54000000004,Diversas,Gerente,,0.0,0.0,229.4,0.0,19.0,36.4%
bom pagador,65312.0,363486.4,Diversas,Professional,16.5,0.0,0.0,263.4,0.0,19.0,24.8%
bom pagador,31086.0,276649.7,Reforma,Outros,18.75,0.0,0.0,204.4,0.0,17.0,34.6%
bom pagador,186830.0,219740.34,Diversas,Outros,4.75,0.0,0.0,102.3,0.0,20.0,30.5%
bom pagador,88234.0,348072.14,Diversas,Geral,9.75,0.0,0.0,400.4,0.0,44.0,42.0%
bom pagador,60288.0,299637.64,Diversas,Geral,1.25,0.0,0.0,172.8,4.0,19.0,34.3%
mau pagador,78500.0,662540.0,Diversas,Professional,13.25,1.0,2.0,150.2,4.0,53.0,
bom pagador,94200.0,178980.0,Diversas,Outros,0.25,0.0,0.0,102.0,1.0,6.0,
mau pagador,21666.0,200181.28,Diversas,Outros,10.75,2.0,0.0,140.7,0.0,22.0,38.4%
bom pagador,40192.0,123288.96,Reforma,Outros,7.25,0.0,0.0,94.9,2.0,12.0,33.3%
bom pagador,59346.0,361618.10000000003,Diversas,Outros,13.0,0.0,0.0,122.3,1.0,8.0,32.4%
bom pagador,51182.0,133855.06,Reforma,Outros,9.5,0.0,0.0,82.7,2.0,11.0,28.3%
mau pagador,42390.0,304580.0,Diversas,Outros,12.75,1.0,0.0,148.0,0.0,22.0,
bom pagador,81326.0,384248.08,Diversas,Professional,10.75,0.0,1.0,135.5,0.0,18.0,24.6%
bom pagador,85408.0,562678.5800000001,Diversas,Outros,1.0,0.0,0.0,185.7,0.0,36.0,40.3%
mau pagador,9106.0,354820.0,Diversas,Professional,6.0,1.0,0.0,168.1,2.0,27.0,
bom pagador,31400.0,351723.96,Diversas,Professional,13.5,0.0,0.0,185.5,2.0,18.0,
bom pagador,51810.0,353805.78,Reforma,Geral,2.75,,2.0,141.0,1.0,24.0,39.3%
bom pagador,57462.0,372231.3,Diversas,Professional,12.75,0.0,0.0,142.9,3.0,18.0,37.9%
bom pagador,157628.0,268680.38,Reforma,Outros,,0.0,0.0,353.4,0.0,6.0,23.1%
bom pagador,42076.0,566182.8200000001,Diversas,Professional,6.5,,1.0,212.9,4.0,27.0,42.2%
bom pagador,86664.0,369204.34,Diversas,Gerente,10.5,0.0,0.0,166.5,0.0,27.0,36.0%
bom pagador,12874.0,200322.58000000002,Diversas,Professional,7.25,0.0,4.0,168.4,1.0,29.0,23.3%
bom pagador,25120.0,223464.38,Reforma,Gerente,2.75,0.0,1.0,132.2,0.0,21.0,30.4%
bom pagador,27004.0,158212.04,Reforma,Gerente,21.75,1.0,0.0,226.1,0.0,17.0,32.9%
bom pagador,34540.0,278225.98000000004,Diversas,Professional,9.0,0.0,0.0,178.0,0.0,12.0,37.2%
bom pagador,58718.0,203355.82,Reforma,Outros,25.75,0.0,0.0,239.0,0.0,13.0,25.6%
mau pagador,33284.0,259508.44,Diversas,Professional,5.0,0.0,4.0,90.1,2.0,13.0,37.4%
bom pagador,26690.0,141849.5,Diversas,Geral,9.0,0.0,0.0,212.5,1.0,22.0,28.0%
bom pagador,68138.0,440975.32,Reforma,Professional,5.0,0.0,0.0,168.9,0.0,32.0,34.8%
bom pagador,129368.0,495878.22000000003,Diversas,Outros,14.25,,1.0,215.1,3.0,29.0,38.9%
bom pagador,31086.0,237091.98,Reforma,Outros,3.75,0.0,0.0,240.5,1.0,17.0,37.5%
bom pagador,35796.0,454766.2,Diversas,Professional,2.5,0.0,0.0,273.5,1.0,47.0,33.3%
bom pagador,81012.0,365276.2,Diversas,Professional,11.5,0.0,1.0,131.3,0.0,18.0,26.0%
bom pagador,54008.0,206612.0,Diversas,Outros,7.0,0.0,1.0,122.6,2.0,49.0,31.6%
bom pagador,58090.0,363357.66000000003,Diversas,Professional,0.75,0.0,0.0,122.6,0.0,31.0,34.2%
bom pagador,56520.0,298271.74,Diversas,Geral,1.0,0.0,0.0,158.6,0.0,24.0,24.6%
mau pagador,17584.0,272552.0,Reforma,Outros,3.75,1.0,1.0,149.6,1.0,14.0,
bom pagador,54950.0,218330.48,Diversas,Outros,5.0,0.0,0.0,110.0,2.0,49.0,30.5%
bom pagador,68452.0,80277.24,Diversas,Professional,8.0,0.0,0.0,116.4,1.0,19.0,21.8%
bom pagador,32028.0,287755.88,Diversas,Outros,1.0,0.0,0.0,107.0,1.0,33.0,37.4%
mau pagador,15700.0,338931.60000000003,Reforma,Gerente,6.5,5.0,3.0,124.3,5.0,30.0,
bom pagador,43018.0,246329.86000000002,Diversas,Geral,12.25,0.0,0.0,273.8,5.0,37.0,41.6%
bom pagador,33912.0,257913.32,Reforma,Outros,2.0,0.0,0.0,90.8,0.0,6.0,37.8%
bom pagador,31400.0,185260.0,Diversas,Geral,24.75,0.0,1.0,233.9,1.0,30.0,
bom pagador,65312.0,388901.56,Reforma,Gerente,0.25,0.0,0.0,312.2,1.0,20.0,41.2%
bom pagador,76302.0,308828.42,Diversas,Professional,9.0,1.0,0.0,129.1,3.0,26.0,37.4%
bom pagador,34540.0,336749.3,Reforma,Professional,5.25,0.0,0.0,118.0,0.0,25.0,26.9%
bom pagador,156372.0,320917.42,Reforma,Autônomo,8.5,0.0,0.0,210.1,3.0,36.0,40.3%
bom pagador,49612.0,189125.34,Diversas,Outros,3.5,0.0,0.0,194.0,0.0,13.0,29.1%
bom pagador,162024.0,255071.62000000002,Reforma,Outros,2.5,1.0,0.0,269.3,7.0,13.0,38.2%
bom pagador,56206.0,296692.32,Diversas,Geral,1.5,0.0,0.0,164.4,3.0,19.0,31.0%
bom pagador,44902.0,314000.0,Diversas,Geral,30.25,,1.0,335.7,2.0,50.0,
mau pagador,56834.0,676820.72,Diversas,Gerente,10.25,7.0,2.0,139.3,9.0,40.0,32.3%
bom pagador,67196.0,512143.42000000004,Diversas,Professional,6.75,1.0,0.0,174.9,0.0,40.0,19.6%
bom pagador,33598.0,212455.54,Reforma,Outros,27.0,0.0,2.0,190.6,0.0,23.0,38.6%
bom pagador,32656.0,243550.96000000002,Diversas,Geral,4.5,2.0,3.0,190.5,2.0,28.0,40.7%
bom pagador,65626.0,184493.84,Diversas,Outros,,0.0,0.0,223.6,0.0,12.0,38.4%
bom pagador,70650.0,272778.08,Reforma,Outros,24.75,0.0,0.0,257.6,1.0,6.0,26.9%
bom pagador,31400.0,489840.0,Reforma,Professional,5.75,0.0,1.0,421.2,1.0,44.0,
bom pagador,96712.0,550115.4400000001,Diversas,Gerente,13.25,0.0,0.0,159.1,2.0,30.0,41.4%
mau pagador,97968.0,252927.0,Diversas,Gerente,21.0,1.0,0.0,119.0,0.0,14.0,35.4%
bom pagador,47100.0,282600.0,Diversas,Professional,6.0,0.0,0.0,132.3,2.0,21.0,
bom pagador,42704.0,411588.06,Reforma,Professional,10.75,0.0,0.0,176.6,2.0,32.0,27.0%
bom pagador,68138.0,210452.22,Diversas,Outros,25.0,0.0,0.0,296.2,1.0,33.0,32.3%
mau pagador,48984.0,412941.4,Diversas,Autônomo,2.25,0.0,2.0,124.2,1.0,17.0,38.6%
bom pagador,12246.0,372849.88,Reforma,Geral,2.25,0.0,0.0,87.9,0.0,13.0,29.3%
bom pagador,64684.0,307996.32,Diversas,Professional,2.5,1.0,0.0,126.9,0.0,20.0,34.5%
bom pagador,70336.0,321454.36,Reforma,Geral,14.0,0.0,0.0,139.6,0.0,14.0,34.1%
bom pagador,150720.0,333075.5,Reforma,Autônomo,8.5,0.0,0.0,205.1,2.0,35.0,36.6%
bom pagador,32970.0,224155.18000000002,Diversas,Outros,3.5,0.0,2.0,307.1,0.0,10.0,31.2%
bom pagador,58404.0,250308.24000000002,Reforma,Outros,,0.0,0.0,241.4,0.0,50.0,40.1%
bom pagador,56206.0,309676.22000000003,Diversas,Gerente,1.75,0.0,0.0,84.9,0.0,17.0,27.4%
bom pagador,54322.0,360804.84,Diversas,Gerente,17.75,0.0,0.0,250.0,4.0,29.0,37.5%
mau pagador,57148.0,280524.46,Diversas,Comissionado,0.0,3.0,0.0,105.2,2.0,19.0,36.3%
bom pagador,46472.0,194636.04,Diversas,Professional,7.25,0.0,0.0,251.8,0.0,16.0,21.0%
bom pagador,52124.0,138678.1,Diversas,Professional,20.0,0.0,1.0,208.3,2.0,16.0,28.6%
bom pagador,62486.0,221658.88,Diversas,Geral,,0.0,0.0,244.9,0.0,21.0,40.4%
bom pagador,88862.0,320430.72000000003,Diversas,Professional,12.25,0.0,0.0,281.0,1.0,30.0,38.9%
bom pagador,39250.0,373386.82,Reforma,Geral,2.25,0.0,0.0,158.1,1.0,22.0,34.9%
bom pagador,43018.0,254553.52000000002,Diversas,Outros,0.0,0.0,0.0,110.6,3.0,10.0,38.8%
bom pagador,28260.0,162780.74000000002,Diversas,Geral,10.0,0.0,0.0,212.3,0.0,24.0,30.4%
bom pagador,31400.0,321457.5,Diversas,Geral,10.25,0.0,0.0,150.8,1.0,13.0,
bom pagador,66568.0,319617.46,Reforma,Professional,18.75,0.0,0.0,625.2,1.0,25.0,19.4%
bom pagador,135334.0,203635.28,Reforma,Geral,,0.0,0.0,323.1,0.0,19.0,15.6%
bom pagador,40506.0,168800.12,Reforma,Outros,22.5,0.0,0.0,120.5,0.0,23.0,37.7%
bom pagador,75674.0,320587.72000000003,Diversas,Outros,18.75,1.0,0.0,199.1,1.0,12.0,41.8%
bom pagador,48670.0,253828.18000000002,Diversas,Outros,1.25,0.0,0.0,129.2,3.0,11.0,37.9%
bom pagador,66882.0,295725.2,Diversas,Geral,1.5,0.0,0.0,140.4,1.0,21.0,34.5%
bom pagador,23864.0,126670.74,Reforma,Outros,3.0,0.0,0.0,266.7,1.0,27.0,43.3%
bom pagador,50240.0,314706.5,Diversas,Outros,0.0,0.0,0.0,131.8,0.0,24.0,40.8%
bom pagador,39878.0,407421.28,Reforma,Professional,8.75,0.0,0.0,182.6,2.0,33.0,28.5%
bom pagador,30144.0,152685.64,Reforma,Gerente,20.5,0.0,1.0,229.1,0.0,18.0,35.6%
bom pagador,121204.0,659243.0,Reforma,Professional,4.75,0.0,0.0,151.6,0.0,32.0,35.6%
bom pagador,74104.0,319268.92,Diversas,Professional,1.5,1.0,0.0,128.4,0.0,19.0,35.2%
bom pagador,40506.0,316455.48000000004,Reforma,Professional,5.25,0.0,0.0,117.9,1.0,26.0,28.0%
bom pagador,29516.0,95628.7,Reforma,Geral,18.75,0.0,0.0,196.5,0.0,16.0,37.0%
bom pagador,129996.0,1481536.78,Reforma,Professional,1.75,0.0,0.0,294.7,4.0,15.0,40.8%
